sire,dam,m_date,d_date,f_date
11,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
12,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
12,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
12,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
13,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
13,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
13,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
14,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
14,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
14,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
15,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
15,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
15,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
16,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
16,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
16,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
17,1,2016-OCT-29,2016-NOV-28,2017-JAN-05
17,2,2016-OCT-29,2016-NOV-28,2017-JAN-05
17,3,2016-OCT-29,2016-NOV-28,2017-JAN-05
18,1,2016-OCT-29,2016-NOV-28,2017-JAN-05
18,2,2016-OCT-29,2016-NOV-28,2017-JAN-05
18,3,2016-OCT-29,2016-NOV-28,2017-JAN-05
19,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
19,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
19,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
20,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
20,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
20,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
21,1,2016-OCT-29,2016-NOV-28,2017-JAN-05
21,2,2016-OCT-29,2016-NOV-28,2017-JAN-05
21,3,2016-OCT-29,2016-NOV-28,2017-JAN-05
22,1,2016-OCT-29,2016-NOV-28,2017-JAN-05
22,2,2016-OCT-29,2016-NOV-28,2017-JAN-05
22,3,2016-OCT-29,2016-NOV-28,2017-JAN-05
23,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
23,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
23,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
24,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
24,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
24,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
25,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
25,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
25,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
26,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
26,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
26,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
27,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
27,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
